,Constituency,Number_of_candidates,Total_votes_2020,Winning_party_2020,Margin_2020,Winning_party_2015,Margin_2015
0,NARELA,12,165694,Aam Aadmi Party,17429,Aam Aadmi Party,40292
1,BURARI,23,222256,Aam Aadmi Party,88158,Aam Aadmi Party,67950
2,TIMARPUR,15,124011,Aam Aadmi Party,24144,Aam Aadmi Party,20647
3,ADARSH NAGAR,8,103752,Aam Aadmi Party,1589,Aam Aadmi Party,20741
4,BADLI,14,139638,Aam Aadmi Party,29123,Aam Aadmi Party,35376
5,RITHALA,13,167079,Aam Aadmi Party,13873,Aam Aadmi Party,29251
6,BAWANA(SC),7,197842,Aam Aadmi Party,11526,Aam Aadmi Party,50557
7,MUNDKA,6,167905,Aam Aadmi Party,19158,Aam Aadmi Party,40826
8,KIRARI,12,173432,Aam Aadmi Party,5654,Aam Aadmi Party,45172
9,SULTANPUR MAJRA(SC),8,112125,Aam Aadmi Party,48052,Aam Aadmi Party,64439
10,NANGLOI JAT,12,151272,Aam Aadmi Party,11624,Aam Aadmi Party,37024
11,MANGOL PURI(SC),7,126685,Aam Aadmi Party,30116,Aam Aadmi Party,22699
12,ROHINI,8,115840,Bharatiya Janata Party,12648,Bharatiya Janata Party,5367
13,SHALIMAR BAGH,13,116803,Aam Aadmi Party,3440,Aam Aadmi Party,10978
14,SHAKUR BASTI,6,99165,Aam Aadmi Party,7592,Aam Aadmi Party,3133
15,TRI NAGAR,9,111697,Aam Aadmi Party,10710,Aam Aadmi Party,22311
16,WAZIRPUR,15,108911,Aam Aadmi Party,11690,Aam Aadmi Party,22044
17,MODEL TOWN,9,100163,Aam Aadmi Party,11133,Aam Aadmi Party,16706
18,SADAR BAZAR,11,123478,Aam Aadmi Party,25644,Aam Aadmi Party,34315
19,CHANDNI CHOWK,13,77199,Aam Aadmi Party,29584,Aam Aadmi Party,18287
20,MATIA MAHAL,9,88570,Aam Aadmi Party,50241,Aam Aadmi Party,26096
21,BALLIMARAN,10,101532,Aam Aadmi Party,36172,Aam Aadmi Party,33877
22,KAROL BAGH(SC),10,108461,Aam Aadmi Party,31760,Aam Aadmi Party,32880
23,PATEL NAGAR(SC),5,120814,Aam Aadmi Party,30935,Aam Aadmi Party,34638
24,MOTI NAGAR,10,112616,Aam Aadmi Party,14072,Aam Aadmi Party,15221
25,MADIPUR(SC),10,115074,Aam Aadmi Party,22719,Aam Aadmi Party,29387
26,RAJOURI GARDEN,11,111688,Aam Aadmi Party,22972,Aam Aadmi Party,10036
27,HARI NAGAR,15,108232,Aam Aadmi Party,20131,Aam Aadmi Party,26444
28,TILAK NAGAR,9,100385,Aam Aadmi Party,28029,Aam Aadmi Party,19890
29,JANAKPURI,7,124881,Aam Aadmi Party,14917,Aam Aadmi Party,25580
30,VIKASPURI,11,239316,Aam Aadmi Party,42058,Aam Aadmi Party,77665
31,UTTAM NAGAR,9,182547,Aam Aadmi Party,19759,Aam Aadmi Party,30419
32,DWARKA,11,136338,Aam Aadmi Party,14387,Aam Aadmi Party,39366
33,MATIALA,10,261315,Aam Aadmi Party,28075,Aam Aadmi Party,47004
34,NAJAFGARH,10,163480,Aam Aadmi Party,6231,Aam Aadmi Party,1555
35,BIJWASAN,14,124972,Aam Aadmi Party,753,Aam Aadmi Party,19536
36,PALAM,13,156851,Aam Aadmi Party,32765,Aam Aadmi Party,30849
37,DELHI CANTT,13,58926,Aam Aadmi Party,10590,Aam Aadmi Party,11198
38,RAJINDER NAGAR,7,103643,Aam Aadmi Party,20058,Aam Aadmi Party,20051
39,NEW DELHI,29,76530,Aam Aadmi Party,21697,Aam Aadmi Party,31583
40,JANGPURA,7,88703,Aam Aadmi Party,16063,Aam Aadmi Party,20450
41,KASTURBA NAGAR,6,91710,Aam Aadmi Party,3165,Aam Aadmi Party,15896
42,MALVIYA NAGAR,7,89778,Aam Aadmi Party,18144,Aam Aadmi Party,15897
43,R K PURAM,8,90004,Aam Aadmi Party,10369,Aam Aadmi Party,19068
44,MEHRAULI,7,115007,Aam Aadmi Party,18161,Aam Aadmi Party,16951
45,CHHATARPUR,13,141283,Aam Aadmi Party,3720,Aam Aadmi Party,22240
46,DEOLI(SC),7,150316,Aam Aadmi Party,40173,Aam Aadmi Party,63937
47,AMBEDKAR NAGAR(SC),7,101003,Aam Aadmi Party,28327,Aam Aadmi Party,42460
48,SANGAM VIHAR,10,116666,Aam Aadmi Party,42522,Aam Aadmi Party,43988
49,GREATER KAILASH,8,108548,Aam Aadmi Party,16809,Aam Aadmi Party,14583
50,KALKAJI,7,106910,Aam Aadmi Party,11393,Aam Aadmi Party,19769
51,TUGHLAKABAD,11,108072,Aam Aadmi Party,13758,Aam Aadmi Party,33701
52,BADARPUR,11,191460,Bharatiya Janata Party,3719,Aam Aadmi Party,47583
53,OKHLA,16,197431,Aam Aadmi Party,71827,Aam Aadmi Party,64532
54,TRILOKPURI(SC),11,133591,Aam Aadmi Party,12486,Aam Aadmi Party,29754
55,KONDLI(SC),8,128680,Aam Aadmi Party,17907,Aam Aadmi Party,24759
56,PATPARGANJ,14,142246,Aam Aadmi Party,3207,Aam Aadmi Party,28791
57,LAXMI NAGAR,9,136820,Bharatiya Janata Party,880,Aam Aadmi Party,4846
58,VISHWAS NAGAR,10,125233,Bharatiya Janata Party,16457,Bharatiya Janata Party,10158
59,KRISHNA NAGAR,8,146855,Aam Aadmi Party,3995,Aam Aadmi Party,2277
60,GANDHI NAGAR,8,114507,Bharatiya Janata Party,6079,Aam Aadmi Party,7482
61,SHAHDARA,9,125383,Aam Aadmi Party,5294,Aam Aadmi Party,11731
62,SEEMA PURI(SC),11,134291,Aam Aadmi Party,56108,Aam Aadmi Party,48821
63,ROHTAS NAGAR,10,142227,Bharatiya Janata Party,13241,Aam Aadmi Party,7874
64,SEELAMPUR,7,129704,Aam Aadmi Party,36920,Aam Aadmi Party,27887
65,GHONDA,13,142137,Bharatiya Janata Party,28370,Aam Aadmi Party,8093
66,BABARPUR,11,142736,Aam Aadmi Party,33062,Aam Aadmi Party,35271
67,GOKALPUR(SC),9,166196,Aam Aadmi Party,19488,Aam Aadmi Party,31968
68,MUSTAFABAD,16,185792,Aam Aadmi Party,20704,Bharatiya Janata Party,6031
69,KARAWAL NAGAR,19,191186,Bharatiya Janata Party,8223,Aam Aadmi Party,44431
